"","name","releasedate"
"1","A * Is Killed","2010"
"2","A All About Her","2003"
"3","A Classic Story","2011"
"4","A Death in the Gunj","2017"
"5","A Decent Arrangement","2014"
"6","A Distant Mirage","2010"
"7","A Flat","2010"
"8","A Flying Jatt","2016"
"9","A Gentleman","2017"
"10","A Melody In The Haunted","2015"
"11","A Mighty Heart","2007"
"12","A Passage To Ottawa","2006"
"13","A Scandall","2016"
"14","A Strange Love Story","2011"
"15","A Wednesday !","2008"
"16","Aa Ab Laut Chalen","1999"
"17","Aa Dekhen Zara","2009"
"18","Aa Gale Lag Ja","1973"
"19","Aa Gale Lag Ja","1994"
"20","Aa Gaye Munde U.K. De","2013"
"21","Aaag Hi Aag","1999"
"22","Aaaina","2015"
"23","Aabe Hayat","1933"
"24","Aabe Hayat","1955"
"25","Aabra Ka Daabra","2004"
"26","Aabroo","1956"
"27","Aabroo","1968"
"28","Aabshar","1953"
"29","Aadamkhor","1986"
"30","Aadamkhor Daayan","2001"
"31","Aadamkhor Hasina","2002"
"32","Aadat Se Majboor","1982"
"33","Aadha Din Aadhi Raat","1977"
"34","Aadhaarstambha","2002"
"35","Aadharshila","1982"
"36","Aadhi Raat","1950"
"37","Aadhi Raat","1999"
"38","Aadhi Raat Ke Baad","1965"
"39","Aadhi Roti","1957"
"40","Aadhi Yug","1978"
"41","Aadmi","1939"
"42","Aadmi","1957"
"43","Aadmi","1968"
"44","Aadmi","1993"
"45","Aadmi Aur Apsara","1991"
"46","Aadmi Aur Insaan","1970"
"47","Aadmi Khilona Hai","1993"
"48","Aadmi Sadak Ka","1977"
"49","Aadu Puli Atham","1977"
"50","Aadum Koothu","2007"
"51","Aafat","1977"
"52","Aag","1948"
"53","Aag","1968"
"54","Aag","1994"
"55","Aag Aandhi Aur Toofan","1994"
"56","Aag Aur Chingari","1994"
"57","Aag Aur Daag","1971"
"58","Aag Aur Shola","1986"
"59","Aag Aur Tezaab","1998"
"60","Aag Hi Aag","1988"
"61","Aag Ka Dariya","1953"
"62","Aag Ka Gola","1989"
"63","Aag Ka Toofan","1993"
"64","Aag Ke Sholay","1988"
"65","Aag Ke Sholay","2001"
"66","Aag Lago Do Sawan Ko","1991"
"67","Aag Se Khelenge","1989"
"68","Aagaman","1984"
"69","Aagaya Hero","2017"
"70","Aage Badho","1973"
"71","Aage Kadam","1943"
"72","Aage Ki Soch","1988"
"73","Aage Mode Hai","1988"
"74","Aagey Se Right","2009"
"75","Aaghaaz","2000"
"76","Aaghat","1985"
"77","Aah","1953"
"78","Aahat","1974"
"79","Aahuti","1950"
"80","Aahuti","1978"
"81","Aai Shappath..!","2006"
"82","Aaina","1974"
"83","Aaina","1977"
"84","Aaina","1993"
"85","Aaj","1990"
"86","Aaj Aur Kal","1947"
"87","Aaj Aur Kal","1963"
"88","Aaj Ka Arjun","1990"
"89","Aaj Ka Dada","1985"
"90","Aaj Ka Daur","1985"
"91","Aaj Ka Fashion Trend","2014"
"92","Aaj Ka Gunda","1992"
"93","Aaj Ka Gundaraj","1992"
"94","Aaj Ka Hindustan","1940"
"95","Aaj Ka Mahatma","1976"
"96","Aaj Ka Mla Ramavatar","1984"
"97","Aaj Ka Ravan","2000"
"98","Aaj Ka Robinhood","1987"
"99","Aaj Ka Samson","1991"
"100","Aaj Ka Yeh Ghar","1977"
"101","Aaj Kal","1934"
"102","Aaj Ke Angaarey","1988"
"103","Aaj Ke Shahanshah","1990"
"104","Aaj Ki Aurat","1993"
"105","Aaj Ki Awaaz","1984"
"106","Aaj Ki Baat","1955"
"107","Aaj Ki Dhara","1979"
"108","Aaj Ki Duniya","1940"
"109","Aaj Ki Fariyaad","1948"
"110","Aaj Ki Raat","1948"
"111","Aaj Ki Taaqat","1993"
"112","Aaj Ki Taza Khabar","1974"
"113","Aaj Phir Jeene Ki Tamanna Hai","2010"
"114","Aaja Meri Bahon Mein","2003"
"115","Aaja Meri Jaan","1993"
"116","Aaja Nachle","2007"
"117","Aaja Re O Sajna","1994"
"118","Aaja Sanam","1975"
"119","Aaja Sanam","1994"
"120","Aaja Sanam Aagossh Mein","2015"
"121","Aakali Rajyam","1981"
"122","Aakarshan","1988"
"123","Aakash","1952"
"124","Aakash Deep","1965"
"125","Aakhari Decision","2010"
"126","Aakheer","2002"
"127","Aakhir Kab Tak?","2016"
"128","Aakhir Kyon","1985"
"129","Aakhri Adalat","1988"
"130","Aakhri Baazi","1989"
"131","Aakhri Cheekh","1990"
"132","Aakhri Chetawani","1993"
"133","Aakhri Dacait","2000"
"134","Aakhri Daku","1978"
"135","Aakhri Dao","1958"
"136","Aakhri Dao","1975"
"137","Aakhri Deal","2015"
"138","Aakhri Ghulam","1989"
"139","Aakhri Goli","1977"
"140","Aakhri Insaaf","1980"
"141","Aakhri Intequam","2002"
"142","Aakhri Kasam","1979"
"143","Aakhri Khat","1967"
"144","Aakhri Mujra","1981"
"145","Aakhri Muqabla","1990"
"146","Aakhri Nishchay","1988"
"147","Aakhri Raasta","1986"
"148","Aakhri Raat","2000"
"149","Aakhri Sanghursh","1997"
"150","Aakhri Sangram","1984"
"151","Aakhri Sauda <U+0096> The Last Deal","2016"
"152","Aakraman","1975"
"153","Aakrandan","2002"
"154","Aakrant","1973"
"155","Aakrosh","1998"
"156","Aakrosh","1980"
"157","Aakrosh","2010"
"158","Aalaap","2012"
"159","Aalavandhan","2001"
"160","Aalha Udal","1963"
"161","Aalingan","1974"
"162","Aamdani Athanni Kharcha Rupaiya","2001"
"163","Aamhi Asu Ladke","2006"
"164","Aamir","2008"
"165","Aamir","2008"
"166","Aamir Salman Shahrukh","2017"
"167","Aamne Samne","1967"
"168","Aamne Samne","1982"
"169","Aamras","2009"
"170","Aan","1952"
"171","Aan <U+0096> Men at Work","2004"
"172","Aan Aur Shaan","1984"
"173","Aan Baan","1956"
"174","Aan Baan","1972"
"175","Aan Milo Sajna","1971"
"176","Aanch","2003"
"177","Aanchal","1960"
"178","Aanchal","1980"
"179","Aanchal Ke Phool","1968"
"180","Aandhi","1943"
"181","Aandhi","1975"
"182","Aandhi Aur Toofan","1964"
"183","Aandhi Toofan","1985"
"184","Aandhiyan","1952"
"185","Aandhiyan","1990"
"186","Aangan","1959"
"187","Aangan","1974"
"188","Aangan Ki Kali","1979"
"189","Aankh Ka Nasha","1933"
"190","Aankh Ka Tara","1977"
"191","Aankh Ki Sharam","1943"
"192","Aankh Micholi","1963"
"193","Aankh Micholi","1972"
"194","Aankhen","2002"
"195","Aankhen","1993"
"196","Aankhen","1968"
"197","Aankhen","1950"
"198","Aankhen 2","2016"
"199","Aankhin Dekhi","1978"
"200","Aankhon Annkhon Mein","1972"
"201","Aankhon Mein Tum Ho","1997"
"202","Aansoo","1953"
"203","Aansoo Aur Muskan","1971"
"204","Aansoo Ban Gaye Phool","1969"
